RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
7,San Antonio Spurs,82,19955,41.1,87.9,0.468,8.7,23.7,0.367,32.5,64.2,0.505,17.5,22.5,0.78,10.3,35.6,45.9,25.7,8.4,5.7,14.7,20.1,108.5,2015
8,Cleveland Cavaliers,82,19780,40.6,88.6,0.458,10.9,29.6,0.367,29.7,58.9,0.504,19.1,25.4,0.751,12,34.3,46.3,23.8,7.9,4.5,15.4,19.8,111.1,2015
9,Portland Trail Blazers,82,19855,40.7,90.4,0.45,10.4,28.6,0.362,30.4,61.8,0.491,16.3,20.4,0.801,11.3,37,48.2,23.1,6.7,4.8,14.3,19.2,108.2,2015
10,Atlanta Hawks,82,19730,40.4,86.7,0.466,10.6,27.9,0.38,29.8,58.9,0.506,17.5,22.5,0.778,9.3,33.8,43.1,27.3,9.6,4.9,15.1,18.9,108.9,2015
11,Phoenix Suns,82,19880,39.8,88.3,0.452,8.8,25.7,0.341,31.1,62.6,0.497,16.8,22.2,0.76,11.2,33.1,44.4,20.8,8.8,4.8,15.5,21.9,105.3,2015
12,Denver Nuggets,82,19880,38.9,89.9,0.433,8.3,25.5,0.325,30.6,64.4,0.476,18.4,25,0.734,12.7,33.3,46,22.5,8.1,4.6,14.6,23.6,104.5,2015
13,Boston Celtics,82,19880,40.2,90.8,0.443,8.3,25.5,0.327,31.9,65.4,0.488,15.9,21.1,0.754,11.5,33.8,45.3,25.3,8.5,3.7,14.3,21.9,104.7,2015
14,Sacramento Kings,82,19855,38.2,83.9,0.455,5.8,17.1,0.341,32.3,66.8,0.484,23.2,30.4,0.762,11.3,34.6,45.9,21.1,7,4.1,16.9,21.5,105.3,2015
15,Chicago Bulls,82,19880,39,88.4,0.442,8.4,23.7,0.353,30.7,64.7,0.474,21.1,26.9,0.783,12.5,36.3,48.8,23.2,6.7,6.2,14.9,19.5,107.5,2015
16,New Orleans Pelicans,82,19780,41.3,90.2,0.457,7.8,21,0.37,33.5,69.2,0.484,17.9,23.8,0.751,12.5,34.8,47.3,24,7.3,6.8,14.4,20.3,108.2,2015
17,Washington Wizards,82,19955,40.3,87.2,0.462,6.4,17.7,0.36,33.9,69.4,0.488,16.8,22.6,0.742,11.1,36,47,25.3,7.7,4.9,15.8,21.9,103.7,2015
18,Detroit Pistons,82,19830,39.7,91.8,0.432,9.2,26.6,0.344,30.5,65.1,0.468,16.8,24,0.703,13.7,34.3,48,23.1,8.1,5,14.3,20.3,105.3,2015
19,Los Angeles Lakers,82,19930,39.1,89.9,0.435,6.8,19.8,0.344,32.3,70.1,0.461,18.4,24.8,0.741,12.2,33.9,46.1,22,7.4,4.7,13.9,22.3,103.4,2015
20,Memphis Grizzlies,82,19905,40.6,88.7,0.458,5.5,16.3,0.339,35.1,72.3,0.485,18.9,24.5,0.773,11.2,34.5,45.8,23.3,9.2,4.5,14.3,20.5,105.7,2015
21,Brooklyn Nets,82,19930,39.9,88.4,0.451,7,21.2,0.331,32.8,67.2,0.489,17.6,23.6,0.748,11,34.1,45.1,22.3,7.5,4.4,14.7,20.5,104.4,2015
22,Milwaukee Bucks,82,19930,39.5,86,0.459,7,19.2,0.363,32.5,66.8,0.486,16.8,22.2,0.757,11.2,32.9,44.2,24.7,10.1,5.2,17.6,23.2,102.7,2015
23,Minnesota Timberwolves,82,19805,38.3,87.5,0.438,5.2,15.7,0.332,33.1,71.8,0.461,21,27.1,0.776,12.2,30.9,43.1,22.7,8.6,4.2,15.8,20.2,102.9,2015
24,Indiana Pacers,82,19855,38.9,88.5,0.439,7.9,22.6,0.352,31,66,0.469,17.8,23.6,0.756,11.1,36.6,47.7,22.8,6.6,4.9,14.9,22.6,103.5,2015
25,Orlando Magic,82,19755,39.8,87.9,0.453,7.2,20.7,0.347,32.6,67.2,0.486,14.8,20.3,0.729,10.6,33.7,44.4,21.9,8.4,4.1,15.8,22.2,101.6,2015
26,Utah Jazz,82,19705,39.1,87.5,0.447,8.2,24,0.343,30.9,63.5,0.486,18.7,26,0.721,13.3,35.3,48.6,22,8.4,6.6,16.9,21.3,105.1,2015
27,Miami Heat,82,19730,38.6,84.7,0.456,7.4,22.2,0.335,31.2,62.5,0.499,19.2,26,0.741,10,32.9,42.9,21.8,8.6,5,16.2,21.9,103.9,2015
28,Charlotte Hornets,82,19905,37.8,89.9,0.42,6.5,20.3,0.318,31.3,69.6,0.45,18.1,24.2,0.748,10.6,36.2,46.9,21.5,6.5,5.8,12.7,19.4,100.1,2015
29,Philadelphia 76ers,82,19805,35,85.8,0.408,8.8,27.3,0.32,26.2,58.4,0.449,16.7,24.7,0.676,12.4,32.1,44.5,21.3,10,6.2,18.4,22.5,95.5,2015
30,New York Knicks,82,19855,38.2,89.2,0.428,7.4,21.4,0.347,30.8,67.8,0.454,16.1,20.9,0.769,11.5,32.4,43.9,23.1,7.6,5.1,16,23.4,99.9,2015
1,Golden State Warriors,82,19880,42.4,87,0.487,13.1,31.5,0.416,29.3,55.5,0.528,16.6,21.8,0.763,9.9,36.1,46,28.8,8.4,6.1,15.1,20.7,114.5,2016
2,Oklahoma City Thunder,82,19830,42.2,88.6,0.476,8.5,24.3,0.349,33.7,64.3,0.524,20.2,25.9,0.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,113.1,2016
3,Sacramento Kings,82,19805,39.8,85.9,0.464,8,22.3,0.359,31.8,63.6,0.5,18.4,25.3,0.725,10.5,33.5,44,24.4,8.9,4.5,16.1,20.3,106,2016
4,Houston Rockets,82,19830,38.4,84.9,0.452,10.9,31.4,0.347,27.5,53.5,0.514,20.7,29.8,0.694,11.5,32.2,43.8,22.6,10.2,5.3,16.2,22.2,108.3,2016
5,Boston Celtics,82,19780,39.6,90.2,0.439,8.8,26.4,0.335,30.8,63.8,0.483,18.7,23.8,0.788,11.7,33.7,45.4,24.4,9.3,4.3,13.9,22.1,106.8,2016
6,Portland Trail Blazers,82,19805,40,88.9,0.45,10.9,29.5,0.37,29.1,59.4,0.49,18,23.8,0.754,12,35.1,47.1,22.1,7.1,4.8,15.1,22.5,108.8,2016
7,Los Angeles Clippers,82,19830,39.7,85.4,0.465,10.1,27.7,0.364,29.6,57.7,0.513,18.8,27.2,0.692,9.1,34.5,43.6,23.7,9,5.8,13.4,22.1,108.3,2016
8,Cleveland Cavaliers,82,19855,41.1,89.3,0.46,11.4,31.5,0.362,29.7,57.8,0.514,17.3,23.1,0.748,11.3,36,47.3,24.1,7.1,4.1,14.4,21.6,110.9,2016
9,Washington Wizards,82,19755,40,86.8,0.46,8.7,24.5,0.358,31.2,62.3,0.501,16.6,22.8,0.73,9.2,33.2,42.3,24.7,8.7,4,14.6,21.1,105.3,2016
10,San Antonio Spurs,82,19705,42.7,88.3,0.484,7.4,19.7,0.375,35.3,68.6,0.515,17.4,21.7,0.803,10,36.8,46.8,26.1,8.8,6.3,13.9,18.6,110.3,2016
11,Charlotte Hornets,82,19855,38.4,87.5,0.439,11,30.5,0.362,27.3,57,0.479,19.4,24.5,0.79,9.3,36.3,45.5,22.5,7.5,5.5,13,18.8,107.1,2016
12,Atlanta Hawks,82,19830,39.5,86.3,0.458,10.2,29,0.35,29.3,57.3,0.512,16,20.4,0.783,8.5,34.5,43,26.2,9.3,6.1,15.3,19.6,105.1,2016
13,New Orleans Pelicans,82,19780,39.5,88.3,0.448,8.8,24.5,0.36,30.7,63.8,0.482,17.7,22.9,0.776,9.8,34,43.8,22.8,7.9,4.3,13.8,21.5,105.6,2016
14,Toronto Raptors,82,19780,39.3,87.1,0.451,9.2,25,0.37,30,62.1,0.483,22.2,28.6,0.777,10.9,35.6,46.5,20.1,8.3,5.9,14,21,110,2016
15,Minnesota Timberwolves,82,19880,39.2,84.5,0.464,5.8,17.1,0.338,33.5,67.5,0.496,22.2,28.1,0.792,10.4,32.8,43.2,24.3,8.3,4.8,15.6,21.5,106.5,2016
16,Dallas Mavericks,82,20005,39,87.8,0.444,10.3,29.8,0.344,28.7,58,0.495,18.5,23.3,0.794,9.6,35.4,44.9,23.1,7.1,3.9,13.3,20.3,106.7,2016
17,Indiana Pacers,82,19880,39.3,87.3,0.45,8.3,23.6,0.351,31,63.7,0.486,17.9,23.4,0.764,10.6,34.7,45.3,21.7,9.3,4.9,15.2,20.5,104.6,2016
18,Orlando Magic,82,19905,40.7,89.4,0.455,8,22.8,0.35,32.7,66.6,0.492,15.7,20.7,0.757,10.6,34,44.6,24.3,8.5,5.2,14.5,21.4,105.1,2016
19,Detroit Pistons,82,19880,39.5,90,0.439,9.4,27.3,0.345,30.1,62.7,0.48,17.8,26.6,0.668,13,35.3,48.2,20.2,7.3,3.9,14.1,19.8,106.1,2016
20,Denver Nuggets,82,19830,39.1,88.5,0.442,8.3,24.6,0.338,30.8,64,0.482,19.1,25,0.766,11.9,34.4,46.3,23.5,7.7,5,15.2,21.8,105.6,2016
21,Chicago Bulls,82,19905,39.9,90.3,0.441,8.2,22.1,0.371,31.7,68.2,0.464,17.1,21.7,0.787,11.4,36.4,47.8,23.6,6.2,5.9,14.4,19.5,105,2016
22,Phoenix Suns,82,19705,37.7,86.8,0.435,9.1,26.2,0.348,28.6,60.6,0.472,17.7,23.5,0.751,11.7,33.8,45.4,21,7.8,3.9,17.4,23,102.2,2016
23,Miami Heat,82,19830,40.7,86.6,0.47,6.4,19.1,0.336,34.3,67.5,0.508,18.2,24.4,0.744,10.4,36.4,46.8,22.1,7.2,6.9,14.9,19.4,106.1,2016
24,Memphis Grizzlies,82,19830,39.2,89,0.44,6.5,19.7,0.331,32.6,69.3,0.471,20.6,26.3,0.783,11.9,32.4,44.3,22,9.4,4.5,14.1,23.1,105.4,2016
25,Milwaukee Bucks,82,19830,40.4,86.6,0.467,5.7,16.4,0.345,34.7,70.2,0.495,17.9,23.9,0.747,11,32.9,43.9,24.3,8.6,6.1,16,21.8,104.3,2016
26,Brooklyn Nets,82,19755,40,88.3,0.453,6.8,19.2,0.352,33.2,69,0.481,16.4,21.7,0.757,11,33.3,44.4,23.3,8,4.2,15.5,18.8,103.2,2016
27,New York Knicks,82,19805,39.2,89.3,0.439,7.9,22.9,0.346,31.3,66.5,0.471,18.3,22.7,0.805,11,36.2,47.2,21.8,6.1,6,14.3,21,104.6,2016
28,Utah Jazz,82,19955,39.1,87.1,0.449,9.2,25.9,0.355,29.9,61.3,0.488,18.5,24.9,0.744,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,105.9,2016
29,Philadelphia 76ers,82,19805,36.7,85.2,0.431,9.5,27.9,0.339,27.3,57.3,0.476,15.9,22.9,0.694,9.6,32.2,41.8,21.8,8.4,6.1,16.6,22,98.8,2016
30,Los Angeles Lakers,82,19730,36.7,88.5,0.414,8.1,25.7,0.317,28.5,62.9,0.454,20.1,25.8,0.781,11.2,33.7,44.8,18.8,7.5,4.3,14.3,21.2,101.6,2016
1,Golden State Warriors,82,19780,43,86.8,0.495,11.9,31.2,0.383,31,55.7,0.557,17.7,22.5,0.788,9.4,34.9,44.3,30.3,9.5,6.7,14.7,19.3,115.6,2017
2,Houston Rockets,82,19780,40.1,86.8,0.462,14.3,40.1,0.357,25.8,46.7,0.552,20.2,26.4,0.766,10.8,33.3,44.1,25.1,8.1,4.3,15,19.8,114.7,2017
3,Denver Nuggets,82,19755,41.7,88.9,0.469,10.8,29.2,0.368,31,59.7,0.519,19,24.5,0.774,11.9,35.1,47,25.7,7,4,15.2,19.4,113.2,2017
4,Cleveland Cavaliers,82,19880,41.1,87.4,0.47,13.4,34.9,0.384,27.7,52.5,0.528,18,24,0.748,9.6,35.4,45,23.3,6.8,4.1,14.1,18.7,113.6,2017
5,Washington Wizards,82,19855,42.1,88.6,0.475,9.4,25.2,0.372,32.7,63.4,0.515,17.6,22.5,0.784,10.5,33.2,43.6,24.3,8.6,4.2,14.4,21.7,111.2,2017
6,Los Angeles Clippers,82,19755,41,86.3,0.475,10.6,28.4,0.375,30.4,57.9,0.525,20.1,26.9,0.745,9.3,35.3,44.6,23.4,7.7,4.4,13.4,20.6,112.7,2017
7,Boston Celtics,82,19755,39.8,87.6,0.454,12.4,34.4,0.359,27.4,53.2,0.515,19.3,23.9,0.807,9.3,33.9,43.2,26,7.7,4.3,13.7,21.2,111.2,2017
8,Portland Trail Blazers,82,19930,40.4,87.9,0.459,10.6,28.3,0.375,29.8,59.6,0.499,18.8,24.2,0.78,10.3,34.3,44.6,21.6,7.2,5.1,14,21.6,110.3,2017
9,Phoenix Suns,82,19830,39.5,87.6,0.45,7.4,22.4,0.332,32,65.3,0.491,20.2,26.1,0.776,11.8,32.7,44.5,19.4,8.1,4.8,15.3,24.5,106.6,2017
10,Toronto Raptors,82,19780,41.1,88.6,0.464,9.3,25.6,0.363,31.9,63.1,0.505,20.7,26,0.796,11.2,34.3,45.4,19.4,8.7,5.1,13.3,21.9,112.3,2017
11,Oklahoma City Thunder,82,19805,40.1,88.8,0.452,8.6,26.2,0.327,31.5,62.6,0.504,19.5,26.2,0.745,12.4,34.9,47.4,21.3,8,5.1,15.2,21.2,108.3,2017
12,Brooklyn Nets,82,19755,37.2,83.8,0.444,10.5,31.1,0.338,26.7,52.7,0.506,19.1,24.2,0.788,8.7,34.5,43.2,21.1,7.1,4.6,16.3,20.7,104.1,2017
13,Minnesota Timberwolves,82,19805,41.4,88.6,0.467,7.7,22.1,0.349,33.7,66.6,0.507,20.3,25.4,0.799,12,32.5,44.5,24.8,8.4,4.7,14.7,21.1,110.8,2017
14,San Antonio Spurs,82,19805,41.5,88.3,0.469,9.7,24.8,0.391,31.8,63.5,0.5,18.5,23.2,0.797,10.6,35.7,46.3,25.1,8.4,6.2,14.2,19.3,111.1,2017
15,Indiana Pacers,82,19855,40.6,87.4,0.465,8.9,23.8,0.376,31.7,63.6,0.498,18.5,22.8,0.81,9.4,34.1,43.4,23.2,8.4,5.2,14.2,20.1,108.6,2017
16,Charlotte Hornets,82,19830,39.1,88.5,0.442,10.4,29.7,0.351,28.7,58.9,0.488,20.1,24.7,0.815,9.1,36.1,45.2,23.9,7.2,4.9,11.9,17.2,108.8,2017
17,Los Angeles Lakers,82,19705,39.9,88.6,0.45,9,26.1,0.346,30.8,62.5,0.493,17.3,22.9,0.754,11.5,32.6,44.1,21.2,8.3,4,15.4,21,106,2017
18,New Orleans Pelicans,82,19905,39.5,87.7,0.45,9.4,27,0.35,30,60.7,0.495,16.8,22.4,0.75,8.6,35.4,44.1,23,7.8,5.6,13,18.3,105.2,2017
19,New York Knicks,82,19855,40.9,91.4,0.447,8.9,25.5,0.348,32,65.9,0.485,17.2,21.8,0.788,12.4,34.3,46.7,22.5,7.3,5.7,14.3,21,107.7,2017
20,Milwaukee Bucks,82,19780,40.9,86.2,0.474,9.2,25,0.37,31.6,61.2,0.516,18.1,23.6,0.768,9.3,33.2,42.5,25.5,8.6,5.6,14.7,21.3,109.1,2017
21,Miami Heat,82,19780,40.8,89.7,0.455,10.3,28.2,0.365,30.5,61.5,0.496,15.9,22.5,0.706,11.1,34.5,45.6,22.2,7.5,6,14,21.4,107.8,2017
22,Atlanta Hawks,82,19880,38.7,85.8,0.451,9,26.5,0.341,29.7,59.3,0.501,18.4,25.3,0.728,10.4,34.6,45.1,24,8.3,4.9,16,18.5,104.9,2017
23,Chicago Bulls,82,19780,40.4,90.9,0.444,7.9,23.3,0.34,32.4,67.6,0.479,18.8,23.5,0.798,12.7,35.6,48.3,23.6,8.2,5,14.2,18.5,107.4,2017
24,Sacramento Kings,82,19880,39.5,85.7,0.461,9.4,24.9,0.376,30.1,60.8,0.496,18.9,24.3,0.775,9.1,33.7,42.8,23.5,8,4.1,15.3,21.2,107.3,2017
25,Philadelphia 76ers,82,19830,37.9,85.9,0.442,10.2,30,0.34,27.7,55.9,0.496,17.1,22.2,0.771,9.9,33.2,43.2,23.9,8.5,5.2,16.8,22,103.2,2017
26,Detroit Pistons,82,19805,41.7,92.9,0.449,8,24.4,0.33,33.6,68.5,0.492,14.5,20.2,0.719,11.6,36.2,47.8,22.1,7.3,4,12.4,18.7,106,2017
27,Orlando Magic,82,19805,39.3,89.3,0.44,8.8,26.8,0.328,30.5,62.5,0.488,16.4,21.9,0.747,10.1,34.2,44.3,22.8,7.3,5,13.7,19.8,103.7,2017
28,Utah Jazz,82,19755,40.2,86.5,0.466,10.5,28.2,0.372,29.8,58.2,0.511,18.6,24.9,0.747,10.2,36.8,47,21.9,7.3,5.4,14.8,20.5,109.6,2017
29,Memphis Grizzlies,82,19905,39,89.6,0.435,10,28.3,0.354,29,61.2,0.473,19.7,25.1,0.784,11.6,34.3,45.8,22.8,8.5,4.5,13.8,24,107.7,2017
30,Dallas Mavericks,82,19780,39,88.8,0.44,11.6,32.5,0.355,27.5,56.3,0.489,16,19.9,0.801,8.5,33.1,41.6,22.4,8.1,4,12.8,20.6,105.6,2017
1,Golden State Warriors,82,19730,42.9,85.3,0.503,11.3,28.9,0.391,31.5,56.3,0.56,16.6,20.4,0.815,8.4,35.1,43.6,29.3,8,7.5,15.5,19.6,113.6,2018
2,Houston Rockets,82,19755,39.5,86,0.46,15.6,43.2,0.362,23.9,42.8,0.558,20,25.7,0.781,9.2,35.2,44.4,22,8.7,4.9,14.1,19.9,114.7,2018
3,New Orleans Pelicans,82,19955,41.9,86.6,0.483,10,27.7,0.362,31.9,59,0.54,15.8,20.5,0.772,8.5,35,43.5,26.3,7.9,5.8,14.6,18.8,109.6,2018
4,Toronto Raptors,82,19830,42,89.1,0.472,12,33.6,0.358,30,55.5,0.541,17.7,22.2,0.794,9.9,34.9,44.8,24.8,7.8,6.2,13.6,22.2,113.8,2018
5,Cleveland Cavaliers,82,19730,41.1,86.3,0.476,12.2,32.7,0.372,28.9,53.6,0.54,18.5,23.7,0.779,8.6,34.3,42.9,23.8,7.2,3.9,14,18.9,112.9,2018
6,Denver Nuggets,82,19880,41.6,88.5,0.47,11.7,31.6,0.371,29.9,56.9,0.525,17.5,22.8,0.767,11.2,34.3,45.5,25.7,7.8,5,15.3,19.1,112.5,2018
7,Philadelphia 76ers,82,19780,40.7,86.3,0.472,11,29.7,0.369,29.8,56.6,0.526,17.1,22.7,0.752,10.9,36.4,47.3,27,8.3,5.1,16.4,22,109.5,2018
8,Minnesota Timberwolves,82,19805,42.5,89.2,0.476,8.3,23.3,0.357,34.2,65.9,0.519,20.1,25,0.804,10.7,32.7,43.4,23.5,8.7,4.4,12.9,18.9,113.4,2018
9,Los Angeles Clippers,82,19705,40.7,86.4,0.471,9.6,27.1,0.354,31.2,59.3,0.525,19.2,25.8,0.743,10.3,34.1,44.4,22.6,7.7,4.6,14.9,20.2,110.3,2018
10,Charlotte Hornets,82,19780,39.4,87.6,0.45,10.2,27.5,0.369,29.3,60.1,0.487,20.4,27.3,0.747,10.2,35.8,46,21.8,6.9,4.6,12.8,17.4,109.4,2018
11,Los Angeles Lakers,82,19905,40.1,87.1,0.461,9.9,28.6,0.345,30.2,58.4,0.517,16.4,23,0.714,10.5,35.2,45.7,23.4,7.6,4.7,15.6,20.9,106.5,2018
12,Oklahoma City Thunder,82,19830,40.9,90.4,0.453,11,31.2,0.354,29.9,59.2,0.505,17.8,24.8,0.716,12.8,33.4,46.2,21.9,9.3,5.2,14.4,20.7,110.7,2018
13,Washington Wizards,82,19855,41,87.8,0.467,10.2,27.2,0.375,30.8,60.6,0.508,17.2,22.3,0.772,10.3,33.9,44.2,25.8,8.1,4.4,15,21.8,109.3,2018
14,Brooklyn Nets,82,19855,38.3,87,0.441,12.7,35.7,0.356,25.6,51.2,0.5,17.5,22.6,0.772,9.7,34.9,44.6,23.7,6.3,4.8,15.2,20.6,106.9,2018
15,Milwaukee Bucks,82,19830,41,85.6,0.478,9,25.5,0.355,31.9,60.1,0.531,18.8,24.1,0.783,8.7,32.4,41.1,24,9.1,5.6,14.3,22,109.8,2018
16,Portland Trail Blazers,82,19755,40.6,89.8,0.452,10.6,29.1,0.366,29.9,60.7,0.493,17.3,21.6,0.8,10.5,36.4,46.9,20.1,7.2,5.3,14,20.1,109.1,2018
17,Indiana Pacers,82,19755,42.3,89.6,0.472,9.4,25.4,0.369,32.9,64.2,0.513,15.5,19.9,0.779,10,34,43.9,23,9.1,4.3,13.8,19.5,109.5,2018
18,New York Knicks,82,19830,41.7,89.9,0.464,8.4,23.9,0.352,33.3,66,0.504,15.3,19.5,0.787,10.7,34.4,45.1,23.9,6.9,5.3,15.1,21,107.1,2018
19,Utah Jazz,82,19755,39.8,86.3,0.462,11.3,30.8,0.366,28.6,55.5,0.515,17.5,22.4,0.779,9.4,35.6,45,23.3,9,5.3,15.3,20.4,108.4,2018
20,Boston Celtics,82,19805,39.6,88,0.45,11.8,31.4,0.377,27.8,56.6,0.491,16.5,21.4,0.771,9.7,36.3,46,23.2,7.6,4.7,14.5,20.4,107.6,2018
21,Phoenix Suns,82,19705,38.3,86.7,0.442,9.3,27.8,0.334,29,59,0.492,17.6,23.8,0.741,10.2,33.7,43.9,21.2,6.9,4.5,15.7,21.9,103.5,2018
22,Detroit Pistons,82,19805,40.4,89.8,0.45,11.2,29.9,0.373,29.2,59.9,0.488,15.2,20.4,0.745,10.5,34.7,45.2,23.5,7.9,4,13.9,19,107.2,2018
23,Miami Heat,82,19930,40.1,88.1,0.455,11.4,31.6,0.36,28.7,56.6,0.508,15.2,20.2,0.755,9.6,35.3,44.9,23.5,7.8,5.5,14.9,20.8,106.8,2018
24,Orlando Magic,82,19730,39.5,87.4,0.452,10.5,29.8,0.351,29,57.5,0.504,15.8,20.8,0.757,9,33.4,42.4,23.8,7.7,5,14.8,19.6,105.2,2018
25,Atlanta Hawks,82,19705,38.8,86.9,0.446,11.4,31.5,0.36,27.4,55.4,0.495,16.1,20.5,0.785,9.2,33.4,42.6,24.1,7.9,4.3,15.8,19.9,105,2018
26,Chicago Bulls,82,19855,39,89.6,0.435,11.1,31.3,0.355,27.8,58.2,0.478,14.7,19.4,0.759,9.7,35.3,45,23.6,7.7,3.6,14.1,19.3,103.8,2018
27,San Antonio Spurs,82,19730,41,89.6,0.457,8.9,25.3,0.352,32.1,64.3,0.499,17,22,0.772,10.9,35.6,46.4,23.9,8,5.9,13.8,18,107.9,2018
28,Dallas Mavericks,82,19805,39.6,89.2,0.444,12.3,34.1,0.36,27.4,55.2,0.496,14.8,19.4,0.763,8.4,34.4,42.9,23.5,7.3,3.9,12.8,20,106.3,2018
29,Memphis Grizzlies,82,19705,38.7,87.1,0.444,9.7,27.6,0.352,28.9,59.5,0.486,17.5,22.2,0.786,10,32.6,42.6,22.7,7.9,5.1,15.7,24.4,104.5,2018
30,Sacramento Kings,82,19755,40.7,90.4,0.45,9.4,25.2,0.375,31.2,65.2,0.479,12.9,17.5,0.735,9.9,33,42.9,22.6,8.2,4.4,14.4,21,103.7,2018
1,Milwaukee Bucks,82,19780,41.8,87.8,0.476,13,36.8,0.353,28.8,50.9,0.565,17.3,22.4,0.773,9,39,47.9,25.1,7.2,5.7,13.4,18.9,113.8,2019
2,Golden State Warriors,82,19805,43.4,88.4,0.491,13.1,33.9,0.385,30.3,54.5,0.557,16.1,20.1,0.801,9.6,35.9,45.5,29,7.5,6.3,14,21.1,115.9,2019
3,New Orleans Pelicans,82,19755,42.1,89,0.473,9.9,28.8,0.344,32.2,60.2,0.536,17.2,22.6,0.761,10.7,34.9,45.6,26.1,7.2,5.2,14.3,20.4,111.4,2019
4,Philadelphia 76ers,82,19805,40.6,86.2,0.471,10.6,29.5,0.359,30,56.7,0.529,20.8,26.9,0.771,10.6,36.1,46.7,26.3,7.2,5.2,14.6,20.8,112.6,2019
5,Los Angeles Clippers,82,19830,40.3,85.4,0.471,9.8,25.2,0.388,30.5,60.2,0.507,22.1,27.8,0.792,9.5,34.9,44.4,23.4,6.7,4.6,14.2,22.8,112.4,2019
6,Portland Trail Blazers,82,19855,42.3,90.6,0.467,11,30.7,0.359,31.3,59.8,0.523,19,23.3,0.814,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7,2019
7,Oklahoma City Thunder,82,19855,41.1,90.6,0.454,11,31.5,0.348,30.1,59.1,0.51,17.2,24.1,0.713,12.1,34.2,46.3,22.5,9,5,13.5,21.6,110.3,2019
8,Toronto Raptors,82,19880,41.7,88.1,0.474,12.2,33.4,0.366,29.5,54.7,0.539,17.5,21.7,0.804,9.5,35.2,44.7,25.1,8.2,5.3,13.9,20.8,113.1,2019
9,Sacramento Kings,82,19730,41.8,90.1,0.464,10.9,29,0.378,30.8,61.1,0.504,16,22,0.726,10.7,33.2,43.9,24.6,8,4.3,12.9,20.7,110.4,2019
10,Washington Wizards,82,19930,41.1,87.8,0.468,11,32.4,0.341,30,55.3,0.543,17.9,23.3,0.768,9.4,31.8,41.3,25.6,8.1,4.5,13.7,20.2,111.1,2019
11,Houston Rockets,82,19830,39.8,88.6,0.449,16.4,46,0.356,23.4,42.6,0.551,19.6,24.7,0.791,10.3,32.3,42.7,21.5,8.7,5,13.5,22.3,115.5,2019
12,Atlanta Hawks,82,19855,39.5,87.6,0.451,12.4,35.3,0.352,27.1,52.2,0.518,16.8,22.3,0.752,11.1,32.9,44,24.6,7.9,4.9,16.3,22.5,108.1,2019
13,Minnesota Timberwolves,82,19830,41.2,90.4,0.456,10,28.5,0.351,31.2,61.9,0.504,19,24.1,0.787,11.2,33.2,44.4,24.4,8.3,5,13,20.1,111.4,2019
14,Boston Celtics,82,19780,42,90.4,0.465,12.6,34.4,0.365,29.5,55.9,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.2,8.6,5.3,12.8,20.3,112.2,2019
15,Brooklyn Nets,82,19980,39.3,87.6,0.449,12.5,35.3,0.353,26.8,52.3,0.513,18.5,24.9,0.745,10.7,34.8,45.5,23.3,6.4,4,14.7,21,109.6,2019
16,Los Angeles Lakers,82,19780,41.1,87.3,0.47,10,29.9,0.333,31.1,57.4,0.541,15.7,22.5,0.699,9.8,35.1,44.9,24.7,7.3,5.2,15.1,20,107.8,2019
17,Utah Jazz,82,19755,40.1,85.8,0.468,12,33.8,0.356,28.1,52,0.541,18.7,25.3,0.736,9.9,36.1,46,25.8,8,5.8,15,20.9,110.9,2019
18,San Antonio Spurs,82,19805,42.8,89.4,0.478,10,25.5,0.392,32.7,63.8,0.513,17.4,21.2,0.819,9.3,35.9,45.2,24.8,6.2,4.8,12.2,18.3,112.9,2019
19,Charlotte Hornets,82,19830,40.4,90.3,0.448,12,34.1,0.351,28.4,56.1,0.507,18.5,23.2,0.797,10,34.1,44,23.4,7.2,5,12.3,19,111.4,2019
20,Denver Nuggets,82,19730,42.8,91.9,0.466,11.2,32,0.351,31.6,59.9,0.527,16.1,21.3,0.755,12.1,35.3,47.3,27.9,7.9,4.5,13.7,20.5,113,2019
21,Dallas Mavericks,82,19780,39,87.3,0.447,12.5,36.8,0.34,26.5,50.5,0.524,18.9,25.5,0.742,10.2,35.4,45.6,23.5,6.5,4.3,14.3,20.2,109.4,2019
22,Indiana Pacers,82,19705,42.1,88.6,0.475,9.7,25.8,0.374,32.4,62.7,0.517,16.1,21.4,0.752,9.5,34.3,43.8,26.4,8.8,5,13.9,19.8,109.9,2019
23,Phoenix Suns,82,19880,39.5,86,0.459,9.5,28.8,0.329,30,57.2,0.525,17.4,22.3,0.779,9,30.8,39.8,23.5,8.8,5,15.4,23.2,105.9,2019
24,Orlando Magic,82,19780,41,90.4,0.454,11.6,32.6,0.356,29.4,57.8,0.509,15.2,19.5,0.782,10.2,35.9,46.1,25.9,6.7,5.5,13.4,18.9,108.9,2019
