RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
19,Minnesota Timberwolves,82,19730,38.6,87.8,0.439,5.9,19.3,0.305,32.7,68.5,0.477,19.9,26.8,0.742,12.7,32.4,45.2,24.1,9.2,5.1,15.9,19.8,102.9,2013
20,Boston Celtics,81,19840,39.6,85.2,0.465,6.6,18.3,0.358,33,66.8,0.494,17.4,22.4,0.776,8.6,33.4,42,24.3,8.8,4.8,15.6,22.6,103.1,2013
21,Phoenix Suns,82,19805,39.7,89.7,0.443,6.2,18.9,0.33,33.5,70.8,0.473,15.6,21,0.744,12.4,31.8,44.3,24.1,8.5,5.6,16.6,21.9,101.2,2013
22,Detroit Pistons,82,19805,39.7,88.6,0.449,6.8,19.2,0.356,32.9,69.4,0.474,17.4,24.9,0.699,13.2,32.9,46.1,23.2,7.7,5.3,16.6,21.7,103.8,2013
23,Orlando Magic,82,19780,40.7,90.9,0.448,6.7,20.2,0.329,34.1,70.6,0.482,13.5,17.9,0.755,11.7,34.4,46.1,24.6,7,4.7,15.7,20.9,101.6,2013
24,New Orleans Hornets,82,19780,40.5,90.3,0.448,7.3,20.2,0.363,33.2,70.1,0.473,17.4,22.4,0.776,13.5,33.2,46.8,23.6,7.1,6,16.4,22.9,105.7,2013
25,Indiana Pacers,81,19590,38.7,88.6,0.436,7.5,21.7,0.347,31.1,66.9,0.465,19.4,26,0.746,14.2,36.3,50.5,22.3,7.9,7,16.7,22.1,104.3,2013
26,Charlotte Bobcats,82,19805,37.4,88.1,0.425,6.2,18.5,0.335,31.2,69.6,0.448,20.5,27.3,0.75,12.2,31.7,43.8,21,7.8,6.3,15.3,20.7,101.5,2013
27,Memphis Grizzlies,82,19805,40.6,91.5,0.444,5.2,15.2,0.345,35.4,76.4,0.463,18.5,23.9,0.773,14.5,33.5,48,23.5,9.6,6,15.7,22.7,104.9,2013
28,Washington Wizards,82,19855,38.2,87.8,0.435,7.1,19.6,0.365,31,68.2,0.455,16.8,22.9,0.733,11.6,34.8,46.4,23.3,7.8,4.9,16.2,22,100.2,2013
29,Chicago Bulls,82,19830,39.6,90.7,0.437,6,17.1,0.353,33.6,73.6,0.456,18.2,23.5,0.773,13.9,34.1,48,25.5,8,5.6,15.9,21.9,103.5,2013
30,Philadelphia 76ers,82,19755,40.8,92,0.444,6.9,19.2,0.36,33.9,72.9,0.466,13.4,18.4,0.729,12,33.3,45.2,24.9,8.1,5.1,14.3,20.1,102,2013
1,Los Angeles Clippers,82,19755,40.6,85.6,0.474,8.8,24.9,0.352,31.8,60.7,0.525,22,30.2,0.73,10.9,33.8,44.6,25.5,8.9,5,14.4,22.4,112.1,2014
2,Houston Rockets,82,19830,39.2,83,0.472,9.8,27.4,0.358,29.4,55.6,0.529,22.8,32,0.712,11.6,35.1,46.7,22.1,7.8,5.8,16.6,21.1,111,2014
3,Minnesota Timberwolves,82,19855,39.6,89.1,0.444,7.5,21.8,0.341,32.2,67.3,0.478,22.2,28.6,0.778,12.7,32.8,45.6,24.4,8.9,3.7,14.2,18.7,108.9,2014
4,Portland Trail Blazers,82,19855,40.9,90.9,0.45,9.8,26.4,0.372,31.1,64.5,0.481,20,24.5,0.815,13,35.5,48.5,24.3,5.8,4.9,14.3,20.1,111.5,2014
5,Oklahoma City Thunder,82,19805,40.6,86.1,0.471,8.4,23.3,0.361,32.1,62.8,0.512,21,26.1,0.806,11.3,35.3,46.6,22.8,8.6,6.4,15.9,23.6,110.5,2014
6,San Antonio Spurs,82,19755,42.5,87.5,0.486,8.9,22.5,0.397,33.6,65.1,0.517,16.5,21,0.785,9.7,35.6,45.4,26.4,7.7,5.4,15.1,19.1,110.5,2014
7,Phoenix Suns,82,19755,40.2,86.8,0.463,9.7,26.1,0.372,30.5,60.8,0.503,19.3,25.4,0.758,11.8,33,44.8,19.8,8.7,4.7,16,22.8,109.5,2014
8,Dallas Mavericks,82,19830,42,88.7,0.474,9.3,24.3,0.384,32.7,64.4,0.508,17.8,22.4,0.795,10.9,32.5,43.4,25,9.1,4.6,14.4,21.2,111.2,2014
9,Denver Nuggets,82,19755,39,87.2,0.447,8.7,24.3,0.358,30.3,63,0.481,19.4,26.7,0.726,12.5,33.7,46.2,22.8,7.6,5.7,16.2,23.4,106,2014
10,Golden State Warriors,82,19830,40.7,88.1,0.462,9.7,25.6,0.38,31,62.5,0.496,16.4,21.8,0.753,11.3,35.5,46.7,24,8.1,5.1,15.7,22.4,107.5,2014
11,Los Angeles Lakers,82,19705,38.7,86.2,0.45,9.6,25.1,0.381,29.2,61.1,0.478,17.2,22.6,0.757,9.2,32.3,41.5,24.8,7.5,5.5,15.3,20.1,104.2,2014
12,Miami Heat,82,19880,41.6,83,0.501,8.8,24.2,0.364,32.8,58.8,0.558,18.9,24.9,0.76,8.3,31.7,40,24.4,9.7,4.9,16,21.1,110.9,2014
13,Toronto Raptors,82,19955,39.2,88,0.445,9.3,25.1,0.372,29.8,62.9,0.475,21.1,26.9,0.782,12.2,33.4,45.7,22.7,7.6,4.5,15.2,24.6,108.8,2014
14,Detroit Pistons,82,19780,40.7,91.1,0.447,6.5,20.2,0.321,34.2,70.9,0.483,18.1,27,0.67,15.3,32.3,47.6,21.9,8.8,5,15.2,21.3,105.9,2014
15,Atlanta Hawks,82,19830,39.1,85.5,0.458,9.8,27.1,0.363,29.3,58.5,0.502,17.8,22.8,0.781,9.1,32.8,41.9,26.1,8.7,4.2,16,20.2,105.9,2014
16,Washington Wizards,82,20055,40.8,88.8,0.459,8.3,21.9,0.38,32.5,67,0.485,16.1,22,0.731,11.4,33,44.4,24.5,8.6,4.8,15.5,21.5,106,2014
